incoming_stock_id,product_id,warehouse_id,quantity,expected_date,source_type,source_reference,status,actual_received_qty,received_date,created_at,updated_at
0bc29ae8-39d5-4c55-85fb-521a486188e2,17b438d3-0eb9-4489-843d-67569ab2e171,3c7fb12b-5cc0-412a-84b2-2937e54e6492,107,2025-02-12,PRODUCTION,PROD-2025-001,RECEIVED,103,2025-02-12,2025-02-09,2025-02-12
179b379f-f161-493e-9859-4d7ebf3aa916,17b438d3-0eb9-4489-843d-67569ab2e171,3c7fb12b-5cc0-412a-84b2-2937e54e6492,282,2025-02-11,PRODUCTION,PROD-2025-002,RECEIVED,277,2025-02-11,2025-02-08,2025-02-11
3d77e2ed-cd5a-422e-af12-ff0033279cd6,17b438d3-0eb9-4489-843d-67569ab2e171,3c7fb12b-5cc0-412a-84b2-2937e54e6492,137,2025-02-19,PRODUCTION,PROD-2025-003,RECEIVED,131,2025-02-19,2025-02-16,2025-02-19
1a44eddd-722b-4c01-aab4-6830cccf2d5d,17b438d3-0eb9-4489-843d-67569ab2e171,3c7fb12b-5cc0-412a-84b2-2937e54e6492,220,2025-02-13,PRODUCTION,PROD-2025-004,RECEIVED,216,2025-02-13,2025-02-10,2025-02-13
afa1d7fa-3297-406d-8b45-1949d4ab13a8,691d2da3-3a95-42f4-af6a-57c1f73652fa,3c7fb12b-5cc0-412a-84b2-2937e54e6492,294,2025-02-11,PRODUCTION,PROD-2025-005,RECEIVED,289,2025-02-11,2025-02-08,2025-02-11
e80ab6f1-0046-40d1-bedd-1db94a2873ac,691d2da3-3a95-42f4-af6a-57c1f73652fa,3c7fb12b-5cc0-412a-84b2-2937e54e6492,257,2025-02-27,PRODUCTION,PROD-2025-006,EXPECTED,,,2025-02-24,2025-02-24
706762eb-ba1e-41c2-a447-2716bfd49a79,691d2da3-3a95-42f4-af6a-57c1f73652fa,3c7fb12b-5cc0-412a-84b2-2937e54e6492,120,2025-02-25,PRODUCTION,PROD-2025-007,EXPECTED,,,2025-02-22,2025-02-22
3906fee0-89e8-4fd7-81a5-600f903f7235,691d2da3-3a95-42f4-af6a-57c1f73652fa,3c7fb12b-5cc0-412a-84b2-2937e54e6492,165,2025-02-25,PRODUCTION,PROD-2025-008,EXPECTED,,,2025-02-22,2025-02-22
eb900d25-e8a9-4575-8c46-3201a776b708,72f40484-f49b-4f82-9a99-d22ec799c523,3c7fb12b-5cc0-412a-84b2-2937e54e6492,138,2025-02-26,PRODUCTION,PROD-2025-009,EXPECTED,,,2025-02-23,2025-02-23
1268b9cb-34d8-41b5-93ce-499166478421,72f40484-f49b-4f82-9a99-d22ec799c523,3c7fb12b-5cc0-412a-84b2-2937e54e6492,286,2025-02-28,PRODUCTION,PROD-2025-010,EXPECTED,,,2025-02-25,2025-02-25
