stop_id,route_id,dealer_id,order_id,stop_sequence,stop_type,quantity_to_deliver,quantity_delivered,status,planned_arrival,actual_arrival,departure_time,is_drop_sale,drop_sale_source,notes,created_at,updated_at
c4c4b4b6-dafa-4f54-b77a-ca3bdd139017,23103c24-241a-4f6a-89ba-6e552052169c,493470d1-7f49-4d7f-88c7-30d85187f126,a47058d2-1dd5-49ad-bad1-3c6b28d15d0f,1,DELIVERY,20,20,COMPLETED,08:45:00,08:38:00,08:52:00,0,,,2024-03-01,2024-03-01
01825df2-93c3-4eca-8de3-7a8128ff522b,23103c24-241a-4f6a-89ba-6e552052169c,7865188e-8b7d-491c-90b0-ffdd5d703d52,5922b7b1-ca66-44d6-b26d-ba3d5451a60c,2,DELIVERY,47,47,COMPLETED,09:37:00,09:51:00,09:59:00,0,,,2024-03-01,2024-03-01
ed9f03b3-8a85-4594-aa74-cfc6f29012a9,23103c24-241a-4f6a-89ba-6e552052169c,0065fc9e-691f-412d-a732-28b741dbb336,1e3d86f0-b46a-4e18-a5e8-aa273898d42c,3,DELIVERY,45,45,COMPLETED,10:26:00,10:30:00,10:43:00,0,,,2024-03-01,2024-03-01
fbb6f6be-f6fe-4d5e-b752-bfca2760cee0,23103c24-241a-4f6a-89ba-6e552052169c,34d40fdb-61b7-4fcd-8fd7-b6266b662296,b55f9052-033c-411f-848c-b59dec789663,4,DELIVERY,15,15,COMPLETED,11:00:00,11:00:00,11:15:00,0,,,2024-03-01,2024-03-01
d983c736-e0c7-4b01-a16e-7a02127bd7d4,23103c24-241a-4f6a-89ba-6e552052169c,d57aa585-6d50-45b9-b7c3-5ddc5266ff65,98753e0f-706a-45c5-87b2-c59c199bc773,5,DELIVERY,29,29,COMPLETED,12:41:00,12:40:00,12:50:00,0,,,2024-03-01,2024-03-01
41938442-ff37-49c6-aa7f-8db88c4042d4,23103c24-241a-4f6a-89ba-6e552052169c,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,53871747-774d-4e88-a954-0b65385304aa,6,DELIVERY,28,28,COMPLETED,13:45:00,13:36:00,13:49:00,0,,,2024-03-01,2024-03-01
faf6107c-d922-4b08-a60d-e5453ffce708,23103c24-241a-4f6a-89ba-6e552052169c,b2ef95e6-8719-44a0-917a-1043a02ce2b0,04fe6727-306b-4bd5-9b3f-c7ea0baf617c,7,DROP_SALE,20,20,COMPLETED,14:16:00,14:20:00,14:34:00,1,04fe6727-306b-4bd5-9b3f-c7ea0baf617c,,2024-03-01,2024-03-01
7220325a-e44b-44bd-87cc-6440c2ec0197,23103c24-241a-4f6a-89ba-6e552052169c,2505c043-13e5-425f-a34f-ad854ef43c6b,6d0e1c86-3bb7-4958-9e87-18a15441ff66,8,DELIVERY,29,29,COMPLETED,15:36:00,15:38:00,15:56:00,0,,,2024-03-01,2024-03-01
627b9c9b-36d0-494f-866b-0b1e272bd751,23103c24-241a-4f6a-89ba-6e552052169c,6768cbbe-636f-40da-9bdd-6bfbbfd44019,7a74fca4-9687-4e44-a04d-62b5e3eb94e7,9,DELIVERY,30,30,COMPLETED,16:33:00,16:33:00,16:47:00,0,,,2024-03-01,2024-03-01
3e1c7587-2029-4de7-822d-86c18295eddb,75d52dd7-3d92-49fe-83a3-09663b823c5e,2566205d-339c-4157-a1f7-c907482ec0a3,f30ced01-52df-465d-a731-d9ba9cc080d1,1,DELIVERY,22,22,COMPLETED,08:40:00,08:54:00,08:59:00,0,,,2024-03-04,2024-03-04
7f967cb6-b1c2-4c8a-84a5-45b1ea3df52e,75d52dd7-3d92-49fe-83a3-09663b823c5e,412af8cf-f49a-46c9-86fd-ee8fc3a1512e,0c208871-d7cb-454e-af8a-5ccc682d3dd5,2,DELIVERY,7,7,COMPLETED,09:14:00,09:00:00,09:10:00,0,,,2024-03-04,2024-03-04
8db749b0-3e66-4dd2-b9b0-b8d3f13d4d5a,75d52dd7-3d92-49fe-83a3-09663b823c5e,afefc15d-6186-4e28-b665-0c08ecf4a9ab,64b17c37-1069-4ff9-810f-b12e6df2faa0,3,DELIVERY,6,6,COMPLETED,10:14:00,10:18:00,10:29:00,0,,,2024-03-04,2024-03-04
6cf33427-d43f-4233-b8cc-6e0ec55e24cd,75d52dd7-3d92-49fe-83a3-09663b823c5e,256796f6-3eaf-4043-91bf-faa41d78325a,c4ba258b-277e-4769-a59e-5e8fd69772f6,4,DELIVERY,47,47,COMPLETED,11:19:00,11:04:00,11:21:00,0,,,2024-03-04,2024-03-04
4e605e8b-f0f4-4633-908c-63b7e018b592,75d52dd7-3d92-49fe-83a3-09663b823c5e,3a111a3b-2224-4624-9b80-d7ecddb28395,dfe37fb2-8c80-45d2-b0f6-b7431a01bb6d,5,DELIVERY,42,42,COMPLETED,12:29:00,12:31:00,12:47:00,0,,,2024-03-04,2024-03-04
a618a7a1-ad5d-41f8-825f-960096e2193f,b7bb0030-0257-4f65-88e2-b21eab671949,0065fc9e-691f-412d-a732-28b741dbb336,1e3d86f0-b46a-4e18-a5e8-aa273898d42c,1,DELIVERY,22,22,COMPLETED,08:40:00,08:53:00,08:59:00,0,,,2024-03-06,2024-03-06
4c6cbcd9-a6d8-47d1-b45b-47537dd068ee,b7bb0030-0257-4f65-88e2-b21eab671949,493470d1-7f49-4d7f-88c7-30d85187f126,a47058d2-1dd5-49ad-bad1-3c6b28d15d0f,2,DELIVERY,28,28,COMPLETED,09:01:00,09:11:00,09:29:00,0,,,2024-03-06,2024-03-06
ac544abe-d581-427c-81a1-7f76d63205da,b7bb0030-0257-4f65-88e2-b21eab671949,2505c043-13e5-425f-a34f-ad854ef43c6b,6d0e1c86-3bb7-4958-9e87-18a15441ff66,3,DELIVERY,20,20,COMPLETED,10:35:00,10:24:00,10:42:00,0,,,2024-03-06,2024-03-06
cde588eb-e23d-4b1f-a10c-c82fa4fb8fe3,b7bb0030-0257-4f65-88e2-b21eab671949,d57aa585-6d50-45b9-b7c3-5ddc5266ff65,98753e0f-706a-45c5-87b2-c59c199bc773,4,DELIVERY,41,41,COMPLETED,11:06:00,11:20:00,11:36:00,0,,,2024-03-06,2024-03-06
068a752a-80fa-45f5-8c5c-f89471e612c4,b7bb0030-0257-4f65-88e2-b21eab671949,7865188e-8b7d-491c-90b0-ffdd5d703d52,5922b7b1-ca66-44d6-b26d-ba3d5451a60c,5,DELIVERY,35,35,COMPLETED,12:41:00,12:28:00,12:47:00,0,,,2024-03-06,2024-03-06
2797e310-9bde-4255-bde4-f9c1adb5c7b2,b7bb0030-0257-4f65-88e2-b21eab671949,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,53871747-774d-4e88-a954-0b65385304aa,6,DELIVERY,38,38,COMPLETED,13:34:00,13:46:00,13:56:00,0,,,2024-03-06,2024-03-06
c56c9da7-b4f9-4831-8697-16c36b48e72d,b7bb0030-0257-4f65-88e2-b21eab671949,6768cbbe-636f-40da-9bdd-6bfbbfd44019,7a74fca4-9687-4e44-a04d-62b5e3eb94e7,7,DELIVERY,15,15,COMPLETED,14:31:00,14:19:00,14:33:00,0,,,2024-03-06,2024-03-06
