order_item_id,order_id,product_id,quantity_ordered,quantity_confirmed,quantity_shipped,quantity_delivered,unit_price,discount_percent,discount_amount,tax_rate,tax_amount,line_total,original_quantity,split_reason,notes,created_at
f2044da9-0d86-4d1a-9057-fbfc137350ec,53871747-774d-4e88-a954-0b65385304aa,691d2da3-3a95-42f4-af6a-57c1f73652fa,24,24,24,24,68.0,0,0.0,18,293.76,1925.76,,,,2024-03-01
d1338ee2-654f-4f78-b1f0-fdcbdbb7c4c7,53871747-774d-4e88-a954-0b65385304aa,72f40484-f49b-4f82-9a99-d22ec799c523,24,24,24,24,128.0,0,0.0,18,552.96,3624.96,,,,2024-03-01
d93c0c8f-0c45-40ad-ab0d-6521575fceb3,35108805-4f17-46b3-8adc-3a93d1c602e0,691d2da3-3a95-42f4-af6a-57c1f73652fa,48,48,48,48,68.0,0,0.0,18,587.52,3851.52,,,,2024-03-01
24c692a5-17b5-423a-aa65-8f0800ebc448,6c96fcde-45db-4d7c-bbfc-bfd6889da57a,691d2da3-3a95-42f4-af6a-57c1f73652fa,36,36,36,0,68.0,0,0.0,18,440.64,2888.64,,,,2024-03-01
bb6f99fe-d191-48ba-bbf8-ed7358913a2c,b55f9052-033c-411f-848c-b59dec789663,691d2da3-3a95-42f4-af6a-57c1f73652fa,48,48,48,48,68.0,0,0.0,18,587.52,3851.52,,,,2024-03-01
2b00e238-ba1b-415d-9b76-99b89835d8e1,b55f9052-033c-411f-848c-b59dec789663,17b438d3-0eb9-4489-843d-67569ab2e171,96,96,96,96,36.0,0,0.0,18,622.08,4078.08,,,,2024-03-01
a29995f9-4f24-4683-9629-003300af9561,5922b7b1-ca66-44d6-b26d-ba3d5451a60c,17b438d3-0eb9-4489-843d-67569ab2e171,96,96,96,96,36.0,0.13,4.55,18,621.26,4072.71,,,,2024-03-02
abb31b33-046e-4eed-a6d0-c6cef8f2001f,accc8c36-ce72-40cc-b865-25a0a0a70f4a,691d2da3-3a95-42f4-af6a-57c1f73652fa,24,24,24,0,68.0,0,0.0,18,293.76,1925.76,,,,2024-03-02
38cd3d28-8723-4c7a-954e-814a75161f7b,5fbb9533-46d8-4ef2-b403-8496c3aff3ff,691d2da3-3a95-42f4-af6a-57c1f73652fa,48,48,48,48,68.0,0,0.0,18,587.52,3851.52,,,,2024-03-02
1d2f76aa-3345-4c71-b033-53fef2ae779b,5fbb9533-46d8-4ef2-b403-8496c3aff3ff,17b438d3-0eb9-4489-843d-67569ab2e171,72,72,72,72,36.0,0,0.0,18,466.56,3058.56,,,,2024-03-02
