week_id,week_start,week_end,week_number,year,month,product_id,product_code,quantity_ordered,quantity_delivered,order_count,revenue,is_festival_week
612171d4-7bd1-4911-9ec5-3a321d8ef5a5,2024-03-04,2024-03-10,1,2024,3,17b438d3-0eb9-4489-843d-67569ab2e171,CLN-500G,1272,1104,18,53687.13,1
974a11c5-64a4-4b39-8d28-f26f7ced17a7,2024-03-04,2024-03-10,1,2024,3,691d2da3-3a95-42f4-af6a-57c1f73652fa,CLN-1KG,384,252,12,30611.03,1
9bf22097-19f1-4937-b757-e4f1c4e9dc22,2024-03-04,2024-03-10,1,2024,3,72f40484-f49b-4f82-9a99-d22ec799c523,CLN-2KG,42,42,3,6343.68,1
989e1b75-d3cd-4c0a-8d67-41dfddc9aa4f,2024-03-11,2024-03-17,2,2024,3,17b438d3-0eb9-4489-843d-67569ab2e171,CLN-500G,864,720,14,36532.18,1
9cacfd3b-c9f1-4762-bf22-c14764f997b5,2024-03-11,2024-03-17,2,2024,3,691d2da3-3a95-42f4-af6a-57c1f73652fa,CLN-1KG,552,552,16,43857.59,1
c2c9a252-39b1-454a-a84f-16d4a85a0b05,2024-03-11,2024-03-17,2,2024,3,72f40484-f49b-4f82-9a99-d22ec799c523,CLN-2KG,18,18,2,2718.72,1
93250888-146e-42e7-8a46-b550c1d0a501,2024-03-18,2024-03-24,3,2024,3,17b438d3-0eb9-4489-843d-67569ab2e171,CLN-500G,1224,1032,17,51565.33,1
feac8b7c-ec2e-4dea-af23-9d86d659d8bf,2024-03-18,2024-03-24,3,2024,3,691d2da3-3a95-42f4-af6a-57c1f73652fa,CLN-1KG,468,384,14,37298.91,1
26f70192-8ebe-453a-89de-7a87f250db36,2024-03-18,2024-03-24,3,2024,3,72f40484-f49b-4f82-9a99-d22ec799c523,CLN-2KG,90,72,4,13479.55,1
7b35671e-16fe-4c85-8513-53201c4283d2,2024-03-25,2024-03-31,4,2024,3,17b438d3-0eb9-4489-843d-67569ab2e171,CLN-500G,960,888,17,40457.91,1
e144b190-af62-49d1-b5ed-1224c5eb5a8b,2024-03-25,2024-03-31,4,2024,3,691d2da3-3a95-42f4-af6a-57c1f73652fa,CLN-1KG,324,324,12,25933.44,1
d3003608-09d5-41ae-a848-1d30413d4986,2024-03-25,2024-03-31,4,2024,3,72f40484-f49b-4f82-9a99-d22ec799c523,CLN-2KG,48,48,3,7249.92,1
8b75fe9a-1d0c-45d5-8622-7f5e5fab2234,2024-04-01,2024-04-07,5,2024,4,17b438d3-0eb9-4489-843d-67569ab2e171,CLN-500G,912,864,14,38593.4,0
fcb8e66c-4860-4c3a-80f1-4927efa692b7,2024-04-01,2024-04-07,5,2024,4,691d2da3-3a95-42f4-af6a-57c1f73652fa,CLN-1KG,312,300,11,24947.85,0
