order_id,order_number,dealer_id,sales_person_id,order_date,requested_delivery_date,promised_delivery_date,actual_delivery_date,subtotal,discount_amount,discount_percent,tax_amount,total_amount,status,payment_status,source,commitment_id,parent_order_id,is_split,split_sequence,requires_approval,approved_by,approved_at,notes,created_at,updated_at
53871747-774d-4e88-a954-0b65385304aa,ORD-2024-0001,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-03-01,2024-03-04,2024-03-03,2024-03-02,4704.0,0.0,0,846.72,5550.72,DELIVERED,PARTIAL,TELEGRAM,41bbf387-8163-4813-aeb3-4b2de95e4ae2,,0,,0,,,Rush order,2024-03-01,2024-03-02
35108805-4f17-46b3-8adc-3a93d1c602e0,ORD-2024-0002,68f1b083-a966-45d7-9568-8fe0199280cf,0de98ea1-d767-49c6-97d0-d792e515bae7,2024-03-01,2024-03-04,2024-03-03,2024-03-03,3264.0,0.0,0,587.52,3851.52,DELIVERED,PAID,FIELD,,,0,,0,,,Regular monthly order,2024-03-01,2024-03-03
6c96fcde-45db-4d7c-bbfc-bfd6889da57a,ORD-2024-0003,de4699bf-d9e7-45b9-9875-43405fdc2981,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,2024-03-01,2024-03-04,2024-03-05,,2448.0,0.0,0,440.64,2888.64,SHIPPED,PARTIAL,TELEGRAM,,,0,,0,,,,2024-03-01,2024-03-01
b55f9052-033c-411f-848c-b59dec789663,ORD-2024-0004,34d40fdb-61b7-4fcd-8fd7-b6266b662296,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-03-01,2024-03-02,2024-03-05,2024-03-05,6720.0,0.0,0,1209.6,7929.6,DELIVERED,PARTIAL,FIELD,cc8ce2de-f44c-48f4-baa4-aa08fe61581b,,0,,0,,,Rush order,2024-03-01,2024-03-05
5922b7b1-ca66-44d6-b26d-ba3d5451a60c,ORD-2024-0005,7865188e-8b7d-491c-90b0-ffdd5d703d52,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-03-02,2024-03-04,2024-03-06,2024-03-05,3456.0,4.55,0.13,621.26,4072.71,DELIVERED,PAID,FIELD,6e22c268-9e68-45eb-9a47-a2ea54b15983,,0,,0,,,,2024-03-02,2024-03-05
accc8c36-ce72-40cc-b865-25a0a0a70f4a,ORD-2024-0006,766f55c6-bd8d-414d-b481-b315180fd94a,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,2024-03-02,2024-03-03,2024-03-06,,1632.0,0.0,0,293.76,1925.76,SHIPPED,PARTIAL,FIELD,,,0,,0,,,,2024-03-02,2024-03-02
5fbb9533-46d8-4ef2-b403-8496c3aff3ff,ORD-2024-0007,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-03-02,2024-03-03,2024-03-05,2024-03-04,5856.0,0.0,0,1054.08,6910.08,DELIVERED,PAID,TELEGRAM,1d49592f-9838-4a66-b8d5-f31e4d7df0b2,,0,,0,,,Regular monthly order,2024-03-02,2024-03-04
7e3e0edb-4062-497d-8fcc-9833db8f13c7,ORD-2024-0008,4260ce4c-5209-476c-afb1-655f9e02133d,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,2024-03-03,2024-03-04,2024-03-04,2024-03-05,3168.0,23.88,0.75,565.94,3710.06,DELIVERED,PAID,FIELD,,,0,,0,,,,2024-03-03,2024-03-05
f30ced01-52df-465d-a731-d9ba9cc080d1,ORD-2024-0009,2566205d-339c-4157-a1f7-c907482ec0a3,0de98ea1-d767-49c6-97d0-d792e515bae7,2024-03-04,2024-03-05,2024-03-06,2024-03-05,3408.0,138.51,4.06,588.51,3858.0,DELIVERED,PAID,TELEGRAM,,,0,,1,c361d450-2f4c-46b8-a441-3f819e888d3b,2024-03-04 17:50:00,,2024-03-04,2024-03-05
dd8de212-4254-4a31-817a-2dd400ed7f9d,ORD-2024-0010,3021fc48-2b92-41d2-ae1b-1fdcd120a039,92522288-0375-4a48-a9b2-822815269255,2024-03-04,2024-03-05,2024-03-05,2024-03-05,1728.0,0.0,0,311.04,2039.04,DELIVERED,PARTIAL,TELEGRAM,787c42e5-73bd-4ade-9048-c60adf0a0ba9,,0,,0,,,Rush order,2024-03-04,2024-03-05
