dealer_inventory_id,dealer_id,product_id,current_stock,reorder_point,max_stock,avg_daily_consumption,days_of_stock,last_updated
1ca6d9a5-3f15-417d-af8e-f4f39ecc44cb,34d40fdb-61b7-4fcd-8fd7-b6266b662296,17b438d3-0eb9-4489-843d-67569ab2e171,77,30,150,6,12.8,2025-02-22
582bc24c-f95f-422f-82bf-eea99710702e,34d40fdb-61b7-4fcd-8fd7-b6266b662296,691d2da3-3a95-42f4-af6a-57c1f73652fa,63,30,150,8,7.9,2025-02-22
a9d573d7-cfbb-4694-8b40-b0cf78d6f11e,0065fc9e-691f-412d-a732-28b741dbb336,17b438d3-0eb9-4489-843d-67569ab2e171,32,30,150,7,4.6,2025-02-22
87492e71-fa25-4fe5-82eb-5eff6c49770a,0065fc9e-691f-412d-a732-28b741dbb336,691d2da3-3a95-42f4-af6a-57c1f73652fa,60,30,150,7,8.6,2025-02-18
41575d0f-ddff-491b-82ef-4ef673ff0d54,d57aa585-6d50-45b9-b7c3-5ddc5266ff65,17b438d3-0eb9-4489-843d-67569ab2e171,40,15,75,2,20.0,2025-02-18
005b6ebf-fd8f-416e-a464-6bc54e4f9c5d,d57aa585-6d50-45b9-b7c3-5ddc5266ff65,691d2da3-3a95-42f4-af6a-57c1f73652fa,2,15,75,4,0.5,2025-02-18
5586812e-c056-46dc-ba79-1e0358628926,2505c043-13e5-425f-a34f-ad854ef43c6b,17b438d3-0eb9-4489-843d-67569ab2e171,45,15,75,2,22.5,2025-02-23
a9a176a6-5dd9-4cd7-b497-c7578a51b049,2505c043-13e5-425f-a34f-ad854ef43c6b,691d2da3-3a95-42f4-af6a-57c1f73652fa,45,15,75,2,22.5,2025-02-21
90de359a-ba35-4184-90bc-cb3facb5e704,2505c043-13e5-425f-a34f-ad854ef43c6b,72f40484-f49b-4f82-9a99-d22ec799c523,32,15,75,5,6.4,2025-02-17
67af973b-2478-4d0c-8f79-9ada65dc7663,7865188e-8b7d-491c-90b0-ffdd5d703d52,17b438d3-0eb9-4489-843d-67569ab2e171,28,15,75,4,7.0,2025-02-21
1b2bf004-690b-4735-976a-a2692569dbf5,7865188e-8b7d-491c-90b0-ffdd5d703d52,691d2da3-3a95-42f4-af6a-57c1f73652fa,16,15,75,3,5.3,2025-02-18
8a15dab7-2824-460e-bf97-4de900a9a171,7865188e-8b7d-491c-90b0-ffdd5d703d52,72f40484-f49b-4f82-9a99-d22ec799c523,40,15,75,3,13.3,2025-02-18
7c15615d-b30b-43e3-90f8-3d1c6518b668,6768cbbe-636f-40da-9bdd-6bfbbfd44019,17b438d3-0eb9-4489-843d-67569ab2e171,16,8,40,3,5.3,2025-02-21
c639254b-6017-47b0-909f-c47b3a0d5093,6768cbbe-636f-40da-9bdd-6bfbbfd44019,691d2da3-3a95-42f4-af6a-57c1f73652fa,8,8,40,3,2.7,2025-02-19
6dca8505-b1fc-4c52-9263-a50d4515ca81,6768cbbe-636f-40da-9bdd-6bfbbfd44019,72f40484-f49b-4f82-9a99-d22ec799c523,18,8,40,3,6.0,2025-02-23
203c0b48-b798-4abc-8476-9dca1929f8be,493470d1-7f49-4d7f-88c7-30d85187f126,17b438d3-0eb9-4489-843d-67569ab2e171,5,8,40,3,1.7,2025-02-20
5fc31f91-90b1-40de-be7e-3c5f0afa695f,493470d1-7f49-4d7f-88c7-30d85187f126,691d2da3-3a95-42f4-af6a-57c1f73652fa,6,8,40,2,3.0,2025-02-21
aca5cfd8-6e63-4342-a22f-dde5f4ccf6f4,493470d1-7f49-4d7f-88c7-30d85187f126,72f40484-f49b-4f82-9a99-d22ec799c523,16,8,40,1,16.0,2025-02-19
21706499-102f-4ee1-ac78-a85ce6c63e8e,b2ef95e6-8719-44a0-917a-1043a02ce2b0,17b438d3-0eb9-4489-843d-67569ab2e171,9,8,40,3,3.0,2025-02-21
a5cc1a00-705c-49b9-84f4-d29f56c98dcd,b2ef95e6-8719-44a0-917a-1043a02ce2b0,691d2da3-3a95-42f4-af6a-57c1f73652fa,6,8,40,1,6.0,2025-02-18
f47459c4-0add-4f40-9100-bdaf9296d630,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,17b438d3-0eb9-4489-843d-67569ab2e171,21,8,40,1,21.0,2025-02-21
f3880af3-1795-4df3-93f2-8aaaa5700790,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,691d2da3-3a95-42f4-af6a-57c1f73652fa,18,8,40,1,18.0,2025-02-21
63950a15-2c24-44e4-83dc-8859222f21b9,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,72f40484-f49b-4f82-9a99-d22ec799c523,14,8,40,3,4.7,2025-02-20
18ac5c41-5556-4d9b-8c25-e39fe2a86c74,9198bfa1-1b5b-4a67-a310-ac2db2875058,17b438d3-0eb9-4489-843d-67569ab2e171,92,30,150,9,10.2,2025-02-18
3a0e46db-e9b9-4f52-8cfb-f14c528430b6,9198bfa1-1b5b-4a67-a310-ac2db2875058,691d2da3-3a95-42f4-af6a-57c1f73652fa,25,30,150,9,2.8,2025-02-17
83583466-0adf-4cbb-82f4-3c24173c9cf8,9198bfa1-1b5b-4a67-a310-ac2db2875058,72f40484-f49b-4f82-9a99-d22ec799c523,30,30,150,7,4.3,2025-02-22
059e122a-956e-4722-95ad-063bc9b384a8,672f6872-5e9a-4153-9cf7-9bad9ee0eff3,17b438d3-0eb9-4489-843d-67569ab2e171,37,15,75,5,7.4,2025-02-22
77a0172b-798a-4352-9a53-37790626d12c,672f6872-5e9a-4153-9cf7-9bad9ee0eff3,691d2da3-3a95-42f4-af6a-57c1f73652fa,36,15,75,2,18.0,2025-02-21
1f92f2a3-3507-4cd2-a60c-08727c6a3f9f,7178f55e-6bbc-4f51-8768-e2277e170ca5,17b438d3-0eb9-4489-843d-67569ab2e171,37,15,75,2,18.5,2025-02-20
8f837b1c-4b29-4e90-8145-35d354a97fba,7178f55e-6bbc-4f51-8768-e2277e170ca5,691d2da3-3a95-42f4-af6a-57c1f73652fa,47,15,75,4,11.8,2025-02-17
371cc874-449b-49a9-b2c0-856dcdab9176,3021fc48-2b92-41d2-ae1b-1fdcd120a039,17b438d3-0eb9-4489-843d-67569ab2e171,12,8,40,2,6.0,2025-02-17
d56ce3ab-3abb-4e87-8504-61a5d008111d,3021fc48-2b92-41d2-ae1b-1fdcd120a039,691d2da3-3a95-42f4-af6a-57c1f73652fa,2,8,40,1,2.0,2025-02-20
